account_id,display_name,email,account_status,app_role,privileged,created_date,last_login_date
Joao.Axelsson.ca@BiTermTest.com,Joao Axelsson,Joao.Axelsson@BiTermTest.com,Enabled,Standard User,No,2025-07-14,2026-07-16
Jeroen.Volkov.ca@BiTermTest.com,Jeroen Volkov,Jeroen.Volkov@BiTermTest.com,Enabled,Standard User,No,2025-07-14,2026-07-17
Rashida.Desai.ca@BiTermTest.com,Rashida Desai,Rashida.Desai@BiTermTest.com,Enabled,Standard User,No,2025-06-23,2026-06-28
Jing.Sakamoto.ca@BiTermTest.com,Jing Sakamoto,Jing.Sakamoto@BiTermTest.com,Enabled,Standard User,No,2025-06-09,2026-07-22
Rashida.Boateng@BiTermTest.com,Rashida Boateng,Rashida.Boateng@BiTermTest.com,Enabled,Standard User,No,2021-09-03,2026-07-13
Janusz.Ishikawa@BiTermTest.com,Janusz Ishikawa,Janusz.Ishikawa@BiTermTest.com,Enabled,Standard User,No,2020-08-10,2026-06-27
Sigrid.Chatterjee@BiTermTest.com,Sigrid Chatterjee,Sigrid.Chatterjee@BiTermTest.com,Enabled,Standard User,No,2013-12-02,2026-06-23
Iker.Saxena@BiTermTest.com,Iker Saxena,Iker.Saxena@BiTermTest.com,Enabled,Standard User,No,2013-09-03,2026-07-13
Amaia.Polat.ca@BiTermTest.com,Amaia Polat,Amaia.Polat@BiTermTest.com,Enabled,Standard User,No,2013-09-02,2026-07-17
Emre.Ivanov@BiTermTest.com,Emre Ivanov,Emre.Ivanov@BiTermTest.com,Enabled,Standard User,No,2013-07-22,2026-07-19
Haruto.Kaminski.ca@BiTermTest.com,Haruto Kaminski,Haruto.Kaminski@BiTermTest.com,Enabled,Standard User,No,2013-03-04,2026-07-10
Mahmoud.Galea@BiTermTest.com,Mahmoud Galea,Mahmoud.Galea@BiTermTest.com,Disabled,Standard User,No,2012-12-17,2026-07-15
Ilya.Lundgren@BiTermTest.com,Ilya Lundgren,Ilya.Lundgren@BiTermTest.com,Enabled,Standard User,No,2012-10-01,2026-07-25
Yaretzi.Novak@BiTermTest.com,Yaretzi Novak,Yaretzi.Novak@BiTermTest.com,Enabled,Standard User,No,2019-12-09,2026-06-26
Mahmoud.Afolabi@BiTermTest.com,Mahmoud Afolabi,Mahmoud.Afolabi@BiTermTest.com,Enabled,Standard User,No,2023-02-01,2026-07-21
Gorka.Dang.ca@BiTermTest.com,Gorka Dang,Gorka.Dang@BiTermTest.com,Enabled,Standard User,No,2025-04-30,2026-06-28
Teodora.Rossi.ca@BiTermTest.com,Teodora Rossi,Teodora.Rossi@BiTermTest.com,Enabled,Read Only,No,2025-04-30,2026-07-02
Tariq.Obiora.ca@BiTermTest.com,Tariq Obiora,Tariq.Obiora@BiTermTest.com,Enabled,Standard User,No,2025-04-30,2026-07-30
Sanjay.Banerjee.ca@BiTermTest.com,Sanjay Banerjee,Sanjay.Banerjee@BiTermTest.com,Enabled,Standard User,No,2025-04-14,2026-07-04
Cillian.Takahashi@BiTermTest.com,Cillian Takahashi,Cillian.Takahashi@BiTermTest.com,Enabled,Standard User,No,2025-04-07,2026-07-05
Maite.Demir.ca@BiTermTest.com,Maite Demir,Maite.Demir@BiTermTest.com,Enabled,Standard User,No,2025-04-04,2026-08-02
Ren.Grabowski.ca@BiTermTest.com,Ren Grabowski,Ren.Grabowski@BiTermTest.com,Enabled,Standard User,No,2025-02-06,2026-07-16
Quang.Jankowski.ca@BiTermTest.com,Quang Jankowski,Quang.Jankowski@BiTermTest.com,Enabled,Standard User,No,2023-01-25,2026-08-01
Sigrid.Kocak.ca@BiTermTest.com,Sigrid Kocak,Sigrid.Kocak@BiTermTest.com,Enabled,Standard User,No,2022-12-12,2026-08-01
Mahmoud.Deluca@BiTermTest.com,Mahmoud Deluca,Mahmoud.Deluca@BiTermTest.com,Enabled,Power User,No,2019-11-18,2026-07-25
Lucia.Hoang@BiTermTest.com,Lucia Hoang,Lucia.Hoang@BiTermTest.com,Enabled,Standard User,No,2017-10-23,2026-08-02
Tariq.Zielinski.ca@BiTermTest.com,Tariq Zielinski,Tariq.Zielinski@BiTermTest.com,Enabled,Standard User,No,2017-10-02,2026-02-14
Iker.Aksoy@BiTermTest.com,Iker Aksoy,Iker.Aksoy@BiTermTest.com,Disabled,Power User,No,2017-04-10,2026-07-03
Beatriz.Abebe.ca@BiTermTest.com,Beatriz Abebe,Beatriz.Abebe@BiTermTest.com,Enabled,Read Only,No,1995-07-01,2026-08-05
Aylin.Attard@BiTermTest.com,Aylin Attard,Aylin.Attard@BiTermTest.com,Enabled,Standard User,No,2020-07-27,2026-07-11
Priya.Hoang.ca@BiTermTest.com,Priya Hoang,Priya.Hoang@BiTermTest.com,Enabled,Standard User,No,2022-10-24,2026-07-03
Jisoo.Kozlowski.ca@BiTermTest.com,Jisoo Kozlowski,Jisoo.Kozlowski@BiTermTest.com,Enabled,Power User,No,2022-09-19,2026-06-23
Priya.Nystrom@BiTermTest.com,Priya Nystrom,Priya.Nystrom@BiTermTest.com,Enabled,Standard User,No,2021-06-21,2026-06-23
Hamid.Kowalski@BiTermTest.com,Hamid Kowalski,Hamid.Kowalski@BiTermTest.com,Enabled,Administrator,Yes,2021-06-21,2026-07-05
Vandana.Fujimoto@BiTermTest.com,Vandana Fujimoto,Vandana.Fujimoto@BiTermTest.com,Enabled,Standard User,No,2019-09-23,2026-07-26
Yusuf.Novak.ca@BiTermTest.com,Yusuf Novak,Yusuf.Novak@BiTermTest.com,Enabled,Standard User,No,2024-10-21,2026-07-14
Teodora.Maalouf@BiTermTest.com,Teodora Maalouf,Teodora.Maalouf@BiTermTest.com,Enabled,Standard User,No,2024-09-23,2026-07-13
Jing.Watanabe.ca@BiTermTest.com,Jing Watanabe,Jing.Watanabe@BiTermTest.com,Enabled,Standard User,No,2024-09-16,2026-07-04
Anouk.Almeida@BiTermTest.com,Anouk Almeida,Anouk.Almeida@BiTermTest.com,Enabled,Standard User,No,2024-09-09,2026-07-07
