account_id,display_name,email,account_status,app_role,privileged,created_date,last_login_date
Rashida.Desai.cf@BiTermTest.com,Rashida Desai,Rashida.Desai@BiTermTest.com,Enabled,Power User,No,2025-06-23,2026-07-06
Trung.Lemma.cf@BiTermTest.com,Trung Lemma,Trung.Lemma@BiTermTest.com,Enabled,Standard User,No,2021-09-08,2026-07-10
Daan.Kozlowski.cf@BiTermTest.com,Daan Kozlowski,Daan.Kozlowski@BiTermTest.com,Enabled,Standard User,No,2021-09-03,2026-06-19
Linh.Cardoso.cf@BiTermTest.com,Linh Cardoso,Linh.Cardoso@BiTermTest.com,Enabled,Power User,No,2014-05-12,2026-06-08
Henryk.Meijer.cf@BiTermTest.com,Henryk Meijer,Henryk.Meijer@BiTermTest.com,Enabled,Read Only,No,2014-05-05,2026-06-17
Henryk.Hoshino.cf@BiTermTest.com,Henryk Hoshino,Henryk.Hoshino@BiTermTest.com,Enabled,Power User,No,2020-09-14,2026-06-08
Ravi.Ozturk.cf@BiTermTest.com,Ravi Ozturk,Ravi.Ozturk@BiTermTest.com,Enabled,Read Only,No,2020-08-17,2026-06-25
Imani.Watanabe.cf@BiTermTest.com,Imani Watanabe,Imani.Watanabe@BiTermTest.com,Enabled,Standard User,No,2020-08-17,2026-06-20
Anouk.Visser.cf@BiTermTest.com,Anouk Visser,Anouk.Visser@BiTermTest.com,Enabled,Standard User,No,2014-03-03,2026-06-28
Chidi.Barbosa@BiTermTest.com,Chidi Barbosa,Chidi.Barbosa@BiTermTest.com,Enabled,Power User,No,2014-03-03,2026-06-20
Hui.Ricci@BiTermTest.com,Hui Ricci,Hui.Ricci@BiTermTest.com,Enabled,Standard User,No,2014-01-06,2026-06-21
Nikolai.Nwosu.cf@BiTermTest.com,Nikolai Nwosu,Nikolai.Nwosu@BiTermTest.com,Enabled,Standard User,No,2013-11-18,2026-07-21
Aoi.Uchida@BiTermTest.com,Aoi Uchida,Aoi.Uchida@BiTermTest.com,Enabled,Standard User,No,2013-09-03,2026-07-14
Quang.Bosman@BiTermTest.com,Quang Bosman,Quang.Bosman@BiTermTest.com,Enabled,Read Only,No,2013-08-05,2026-06-11
Umar.Devries@BiTermTest.com,Umar Devries,Umar.Devries@BiTermTest.com,Enabled,Standard User,No,2013-07-29,2026-06-19
Tenoch.Khoury@BiTermTest.com,Tenoch Khoury,Tenoch.Khoury@BiTermTest.com,Enabled,Read Only,No,2013-07-29,2026-06-23
Aoi.Ozturk@BiTermTest.com,Aoi Ozturk,Aoi.Ozturk@BiTermTest.com,Enabled,Standard User,No,2013-07-29,2026-07-10
Arjun.Okonkwo@BiTermTest.com,Arjun Okonkwo,Arjun.Okonkwo@BiTermTest.com,Enabled,Power User,No,2013-03-06,2026-07-11
Quang.Girma@BiTermTest.com,Quang Girma,Quang.Girma@BiTermTest.com,Enabled,Power User,No,2013-02-11,2026-06-18
Beatriz.Khoury@BiTermTest.com,Beatriz Khoury,Beatriz.Khoury@BiTermTest.com,Enabled,Standard User,No,2013-01-21,2026-06-26
Meera.Egorov@BiTermTest.com,Meera Egorov,Meera.Egorov@BiTermTest.com,Enabled,Administrator,Yes,2012-12-03,2026-06-09
