account_id,display_name,email,account_status,app_role,privileged,created_date,last_login_date
Eshan.Farrugia,Eshan Farrugia,Eshan.Farrugia@BiTermTest.com,Enabled,Standard User,No,2025-06-10,2026-07-04
Petro.Seo,Petro Seo,Petro.Seo@BiTermTest.com,Enabled,Read Only,No,2025-06-10,2026-07-23
Ingrid.Almeida,Ingrid Almeida,Ingrid.Almeida@BiTermTest.com,Enabled,Standard User,No,2025-06-10,2026-07-27
Anwar.Ngo,Anwar Ngo,Anwar.Ngo@BiTermTest.com,Enabled,Standard User,No,2025-06-10,2026-08-02
Minho.Greco,Minho Greco,Minho.Greco@BiTermTest.com,Enabled,Standard User,No,2025-06-10,2026-07-07
Itzel.Mifsud,Itzel Mifsud,Itzel.Mifsud@BiTermTest.com,Enabled,Standard User,No,2025-06-10,2026-07-20
Kenji.Visser,Kenji Visser,Kenji.Visser@BiTermTest.com,Enabled,Standard User,No,2025-06-10,2026-08-03
Eshan.Mifsud,Eshan Mifsud,Eshan.Mifsud@BiTermTest.com,Enabled,Standard User,No,2025-06-10,2026-07-23
Agnieszka.Zammit,Agnieszka Zammit,Agnieszka.Zammit@BiTermTest.com,Disabled,Standard User,No,2025-06-10,2026-06-26
Baran.Carvalho,Baran Carvalho,Baran.Carvalho@BiTermTest.com,Enabled,Administrator,Yes,2025-06-10,2026-07-30
Gorka.Celik,Gorka Celik,Gorka.Celik@BiTermTest.com,Enabled,Read Only,No,2020-10-05,2026-07-24
Hana.Baraka,Hana Baraka,Hana.Baraka@BiTermTest.com,Enabled,Standard User,No,2020-09-22,2026-07-24
Petro.Attard,Petro Attard,Petro.Attard@BiTermTest.com,Enabled,Power User,No,2020-08-31,2026-08-05
Nayeli.Engstrom,Nayeli Engstrom,Nayeli.Engstrom@BiTermTest.com,Enabled,Standard User,No,2020-08-17,2026-07-07
CARSLAN,Carslan User,CArslan@BiTermTest.com,Enabled,Read Only,No,2013-07-15,2026-06-22
RKOCAK,Rkocak User,RKocak@BiTermTest.com,Enabled,Standard User,No,2013-01-28,2026-07-09
Chidi.Morozov,Femi Arslan,Femi.Arslan@BiTermTest.com,Enabled,Standard User,No,2019-12-09,2026-07-25
Bogdan.Bae,Bogdan Bae,Bogdan.Bae@BiTermTest.com,Enabled,Read Only,No,2025-05-12,2026-08-01
Suleiman.Ivanov,Suleiman Ivanov,Suleiman.Ivanov@BiTermTest.com,Enabled,Standard User,No,2025-05-12,2026-07-10
Piotr.Joshi,Piotr Joshi,Piotr.Joshi@BiTermTest.com,Enabled,Read Only,No,2025-05-12,2026-08-03
Amina.Meijer,Amina Meijer,Amina.Meijer@BiTermTest.com,Enabled,Power User,No,2025-05-09,2026-08-04
Minh.Rahal,Minh Rahal,Minh.Rahal@BiTermTest.com,Enabled,Standard User,No,2025-05-09,2026-07-17
Declan.Fonseca,Declan Fonseca,Declan.Fonseca@BiTermTest.com,Enabled,Standard User,No,2025-04-04,2026-07-19
Ximena.Ezeani,Ximena Ezeani,Ximena.Ezeani@BiTermTest.com,Enabled,Standard User,No,2025-04-04,2026-07-01
Mateo.Kwon,Mateo Kwon,Mateo.Kwon@BiTermTest.com,Disabled,Standard User,No,2025-04-04,2026-07-07
Deniz.Menon,Deniz Menon,Deniz.Menon@BiTermTest.com,Enabled,Read Only,No,2025-03-12,2026-08-02
Dragan.Novikov,Dragan Novikov,Dragan.Novikov@BiTermTest.com,Enabled,Standard User,No,2025-02-18,2026-07-18
Lorenzo.Tesfaye,Lorenzo Tesfaye,Lorenzo.Tesfaye@BiTermTest.com,Enabled,Power User,No,2022-12-21,2026-06-26
Hamid.Dekker,Hamid Dekker,Hamid.Dekker@BiTermTest.com,Enabled,Standard User,No,2019-12-02,2026-07-13
