account_id,display_name,email,account_status,app_role,privileged,created_date,last_login_date
MINHO.GRECO,Minho Greco,Minho.Greco@BiTermTest.com,Enabled,Standard User,No,2025-06-09,2026-07-20
AOI.MUKHERJEE,Aoi Mukherjee,Aoi.Mukherjee@BiTermTest.com,Enabled,Standard User,No,2025-06-02,2026-07-07
CUAUHTEMOC.HORVAT,Cuauhtemoc Horvat,Cuauhtemoc.Horvat@BiTermTest.com,Enabled,Standard User,No,2021-09-20,2026-06-14
INES.KULKARNI,Ines Kulkarni,Ines.Kulkarni@BiTermTest.com,Enabled,Standard User,No,2021-09-08,2026-06-24
EAMON.AYDIN,Eamon Aydin,Eamon.Aydin@BiTermTest.com,Enabled,Standard User,No,2021-09-07,2026-06-14
ROHAN.NWOSU,Rohan Nwosu,Rohan.Nwosu@BiTermTest.com,Enabled,Standard User,No,2021-09-07,2026-06-15
GORKA.MICALLEF,Gorka Micallef,Gorka.Micallef@BiTermTest.com,Enabled,Standard User,No,2021-09-06,2026-07-14
BASIM.POLAT,Basim Polat,Basim.Polat@BiTermTest.com,Enabled,Standard User,No,2021-09-01,2025-12-20
VALENTINA.LAI,Valentina Lai,Valentina.Lai@BiTermTest.com,Enabled,Standard User,No,2021-08-30,2026-06-26
IKER.CHOPRA,Iker Chopra,Iker.Chopra@BiTermTest.com,Enabled,Standard User,No,2021-08-24,2026-07-13
SULEIMAN.JEONG,Suleiman Jeong,Suleiman.Jeong@BiTermTest.com,Enabled,Standard User,No,2021-08-23,2026-07-08
THAO.MOROZOV,Thao Morozov,Thao.Morozov@BiTermTest.com,Enabled,Read Only,No,2021-08-23,2026-07-21
GORKA.IVANOV,Gorka Ivanov,Gorka.Ivanov@BiTermTest.com,Enabled,Standard User,No,2021-08-23,2026-07-13
VANDANA.ATTARD,Vandana Attard,Vandana.Attard@BiTermTest.com,Enabled,Standard User,No,2021-08-23,2026-07-11
MATTEO.SEO,Matteo Seo,Matteo.Seo@BiTermTest.com,Enabled,Standard User,No,2021-08-16,2026-07-13
ZAHRA.MICALLEF,Zahra Micallef,Zahra.Micallef@BiTermTest.com,Enabled,Standard User,No,2021-08-16,2026-06-26
FEMKE.JANKOWSKI,Femke Jankowski,Femke.Jankowski@BiTermTest.com,Enabled,Standard User,No,2021-08-16,2026-07-22
UMAR.HOSHINO,Umar Hoshino,Umar.Hoshino@BiTermTest.com,Enabled,Administrator,Yes,2021-08-12,2026-07-03
CUAUHTEMOC.PETROVIC,Cuauhtemoc Petrovic,Cuauhtemoc.Petrovic@BiTermTest.com,Enabled,Read Only,No,2021-08-10,2026-07-15
REN.BARONE,Ren Barone,Ren.Barone@BiTermTest.com,Enabled,Read Only,No,2021-08-09,2026-07-05
TOMASZ.CAMILLERI,Tomasz Camilleri,Tomasz.Camilleri@BiTermTest.com,Enabled,Standard User,No,2021-08-09,2026-07-06
Femi.Lai,Femi Lai,Femi.Lai@BiTermTest.com,Enabled,Standard User,No,2014-05-19,2026-06-22
Leila.Wojcik,Leila Wojcik,Leila.Wojcik@BiTermTest.com,Enabled,Administrator,Yes,2014-05-19,2026-07-01
Aoife.Aydin,Aoife Aydin,Aoife.Aydin@BiTermTest.com,Enabled,Standard User,No,2014-05-12,2026-07-10
Amara.Markovic,Amara Markovic,Amara.Markovic@BiTermTest.com,Enabled,Read Only,No,2014-05-05,2026-01-09
Femi.Krawczyk,Femi Krawczyk,Femi.Krawczyk@BiTermTest.com,Enabled,Standard User,No,2014-05-05,2026-06-14
AMINA.OWUSU,Amina Owusu,Amina.Owusu@BiTermTest.com,Enabled,Standard User,No,2014-05-01,2026-07-21
Citlali.Dahlberg,Citlali Dahlberg,Citlali.Dahlberg@BiTermTest.com,Enabled,Standard User,No,2014-04-25,2026-06-25
Yaretzi.Ishikawa,Yaretzi Ishikawa,Yaretzi.Ishikawa@BiTermTest.com,Enabled,Standard User,No,2014-04-14,2026-06-25
Renata.Mukherjee,Renata Mukherjee,Renata.Mukherjee@BiTermTest.com,Enabled,Read Only,No,2014-04-14,2026-07-11
CEM.BARONE,Cem Barone,Cem.Barone@BiTermTest.com,Enabled,Standard User,No,2014-04-03,2026-06-14
THABO.KEITA,Thabo Keita,Thabo.Keita@BiTermTest.com,Enabled,Standard User,No,2020-09-22,2026-06-23
SOREN.ABEBE,Soren Abebe,Soren.Abebe@BiTermTest.com,Enabled,Read Only,No,2020-09-15,2026-06-08
LARS.KAMINSKI,Lars Kaminski,Lars.Kaminski@BiTermTest.com,Enabled,Standard User,No,2020-09-14,2026-06-09
KATYA.NOVIKOV,Katya Novikov,Katya.Novikov@BiTermTest.com,Enabled,Power User,No,2020-09-14,2026-06-20
ANOUK.OZTURK,Anouk Ozturk,Anouk.Ozturk@BiTermTest.com,Enabled,Standard User,No,2020-09-08,2026-06-22
LAN.VOSBERG,Lan Vosberg,Lan.Vosberg@BiTermTest.com,Enabled,Administrator,Yes,2020-08-31,2026-06-24
ANIKA.NAKAMURA,Anika Nakamura,Anika.Nakamura@BiTermTest.com,Enabled,Standard User,No,2020-08-31,2026-01-18
JISOO.KOCAK,Jisoo Kocak,Jisoo.Kocak@BiTermTest.com,Disabled,Standard User,No,2020-08-31,2026-07-18
FREJA.VARMA,Freja Varma,Freja.Varma@BiTermTest.com,Enabled,Standard User,No,2020-08-24,2026-07-16
AYLIN.IYER,Aylin Iyer,Aylin.Iyer@BiTermTest.com,Enabled,Standard User,No,2020-08-24,2026-06-28
HENRYK.HOSHINO,Henryk Hoshino,Henryk.Hoshino@BiTermTest.com,Enabled,Standard User,No,2020-08-17,2026-06-26
DIEGO.NAKAMURA,Diego Nakamura,Diego.Nakamura@BiTermTest.com,Disabled,Standard User,No,2020-08-17,2026-06-14
ANWAR.KOBAYASHI,Anwar Kobayashi,Anwar.Kobayashi@BiTermTest.com,Enabled,Administrator,Yes,2020-08-17,2026-07-10
BOGDAN.FERREIRA,Bogdan Ferreira,Bogdan.Ferreira@BiTermTest.com,Enabled,Standard User,No,2020-08-17,2026-07-14
JOVANA.RIBEIRO,Jovana Ribeiro,Jovana.Ribeiro@BiTermTest.com,Enabled,Standard User,No,2020-08-17,2026-06-15
NBAE,Nayeli Bae,Nayeli.Bae@BiTermTest.com,Disabled,Administrator,Yes,2014-03-31,2026-07-15
Soren.Devries,Soren Devries,Soren.Devries@BiTermTest.com,Enabled,Administrator,Yes,2014-03-10,2026-06-11
TEODORA.MAALOUF,Teodora Maalouf,Teodora.Maalouf@BiTermTest.com,Enabled,Read Only,No,2014-03-03,2026-06-15
