account_id,display_name,email,account_status,app_role,privileged,created_date,last_login_date
AMINA.KILIC,Amina Kilic,Amina.Kilic@BiTermTest.com,Disabled,Standard User,No,2014-04-14,2026-07-12
JOVANA.BOATENG,Jovana Boateng,Jovana.Boateng@BiTermTest.com,Enabled,Standard User,No,2020-09-14,2026-07-08
AINHOA.CHOPRA,Ainhoa Chopra,Ainhoa.Chopra@BiTermTest.com,Enabled,Read Only,No,2020-09-14,2026-07-12
PADRAIG.ALMEIDA,Padraig Almeida,Padraig.Almeida@BiTermTest.com,Enabled,Standard User,No,2020-08-31,2026-07-15
HENRYK.ROSSI,Henryk Rossi,Henryk.Rossi@BiTermTest.com,Enabled,Administrator,Yes,2020-08-17,2026-07-31
LARSLAN,Leila Arslan,Leila.Arslan@BiTermTest.com,Enabled,Standard User,No,2014-03-31,2026-07-07
LAN.YOON,Lan Yoon,Lan.Yoon@BiTermTest.com,Enabled,Power User,No,2014-03-03,2026-06-29
AMINA.PETROVIC,Amina Petrovic,Amina.Petrovic@BiTermTest.com,Enabled,Standard User,No,2014-03-03,2026-07-21
BJORN.VOLKOV,Bjorn Volkov,Bjorn.Volkov@BiTermTest.com,Enabled,Power User,No,2014-01-06,2026-07-28
BCARVALHO,Bjorn Carvalho,Bjorn.Carvalho@BiTermTest.com,Disabled,Standard User,No,2013-12-02,2026-07-07
FCASSAR,Fernanda Cassar,Fernanda.Cassar@BiTermTest.com,Enabled,Standard User,No,2013-08-26,2026-07-12
AVOSBERG,Aoife Vosberg,Aoife.Vosberg@BiTermTest.com,Enabled,Power User,No,2013-07-29,2026-07-30
BZIELINSKI,Bram Zielinski,Bram.Zielinski@BiTermTest.com,Enabled,Read Only,No,2013-07-29,2026-07-31
XHOLMGREN,Xiomara Holmgren,Xiomara.Holmgren@BiTermTest.com,Enabled,Standard User,No,2013-07-29,2026-07-11
XKEITA,Ximena Keita,Ximena.Keita@BiTermTest.com,Enabled,Standard User,No,2013-04-29,2026-08-04
QFERREIRA,Quang Ferreira,Quang.Ferreira@BiTermTest.com,Enabled,Power User,No,2013-02-11,2026-07-05
LAYDIN,Laleh Aydin,Laleh.Aydin@BiTermTest.com,Enabled,Standard User,No,2012-11-26,2026-06-22
MSAHIN,Maite Sahin,Maite.Sahin@BiTermTest.com,Enabled,Standard User,No,2012-11-26,2026-07-02
RAFAEL.FONSECA,Rafael Fonseca,Rafael.Fonseca@BiTermTest.com,Enabled,Standard User,No,2023-01-23,2026-07-02
HANA.BORG,Hana Borg,Hana.Borg@BiTermTest.com,Enabled,Standard User,No,2023-01-09,2026-06-24
ROHAN.KIRIGAYA,Rohan Kirigaya,Rohan.Kirigaya@BiTermTest.com,Enabled,Standard User,No,2022-12-19,2026-07-19
ANDRES.KOVAC,Andres Kovac,Andres.Kovac@BiTermTest.com,Disabled,Standard User,No,2019-11-04,2026-06-25
TOMASZ.BARBOSA,Tomasz Barbosa,Tomasz.Barbosa@BiTermTest.com,Enabled,Administrator,Yes,2019-11-04,2026-07-19
RAVI.TRAORE,Ravi Traore,Ravi.Traore@BiTermTest.com,Enabled,Standard User,No,2017-10-16,2026-07-18
TEODORA.GALLO,Teodora Gallo,Teodora.Gallo@BiTermTest.com,Enabled,Read Only,No,2017-07-10,2026-07-30
QASIM.AGARWAL,Qasim Agarwal,Qasim.Agarwal@BiTermTest.com,Enabled,Power User,No,2017-06-12,2026-07-15
THABO.DUONG,Thabo Duong,Thabo.Duong@BiTermTest.com,Enabled,Read Only,No,2017-05-01,2026-07-01
JEROEN.ASANTE,Jeroen Asante,Jeroen.Asante@BiTermTest.com,Enabled,Standard User,No,2017-04-03,2026-07-28
RAFAEL.KIRIGAYA,Rafael Kirigaya,Rafael.Kirigaya@BiTermTest.com,Disabled,Standard User,No,2021-07-26,2026-07-01
ZOFIA.SAXENA,Zofia Saxena,Zofia.Saxena@BiTermTest.com,Enabled,Standard User,No,2017-02-13,2026-08-05
LFUJIMOTO,Laleh Fujimoto,Laleh.Fujimoto@BiTermTest.com,Enabled,Read Only,No,1998-06-29,2026-06-29
XPIOTROWSKI,Xiu Piotrowski,Xiu.Piotrowski@BiTermTest.com,Enabled,Read Only,No,1993-12-01,2026-07-15
RKURODA,Rafael Kuroda,Rafael.Kuroda@BiTermTest.com,Enabled,Read Only,No,1993-10-18,2026-06-24
NOZTURK,Nayeli Ozturk,Nayeli.Ozturk@BiTermTest.com,Enabled,Standard User,No,1987-09-23,2026-07-18
YEVHEN.MAZUR,Yevhen Mazur,Yevhen.Mazur@BiTermTest.com,Enabled,Standard User,No,2020-07-20,2026-07-27
EAMON.ZIELINSKI,Eamon Zielinski,Eamon.Zielinski@BiTermTest.com,Enabled,Power User,No,2020-07-13,2026-07-14
FEMI.LAI,Femi Lai,Femi.Lai@BiTermTest.com,Enabled,Read Only,No,2021-06-14,2026-06-29
CUAUHTEMOC.AXELSSON,Cuauhtemoc Axelsson,Cuauhtemoc.Axelsson@BiTermTest.com,Enabled,Power User,No,2019-09-23,2026-07-06
MING.ENGSTROM,Ming Engstrom,Ming.Engstrom@BiTermTest.com,Enabled,Administrator,Yes,2019-08-26,2026-07-11
YAN.NAKAMURA,Yan Nakamura,Yan.Nakamura@BiTermTest.com,Enabled,Standard User,No,2019-08-12,2026-07-12
UMAR.TOURE,Umar Toure,Umar.Toure@BiTermTest.com,Enabled,Standard User,No,2012-06-18,2026-07-31
MOBIORA,Marta Obiora,Marta.Obiora@BiTermTest.com,Enabled,Standard User,No,2012-06-11,2026-06-24
QJANKOWSKI,Quang Jankowski,Quang.Jankowski@BiTermTest.com,Enabled,Standard User,No,2012-05-14,2026-06-27
KMULDER,Kamal Mulder,Kamal.Mulder@BiTermTest.com,Enabled,Standard User,No,2012-02-27,2026-07-30
UAKSOY,Umar Aksoy,Umar.Aksoy@BiTermTest.com,Enabled,Standard User,No,2011-09-26,2026-07-20
IMEIJER,Ilya Meijer,Ilya.Meijer@BiTermTest.com,Enabled,Standard User,No,2011-09-19,2026-07-18
KAVITA.MORETTI,Kavita Moretti,Kavita.Moretti@BiTermTest.com,Enabled,Read Only,No,2011-03-28,2026-07-06
YENGSTROM,Yasmin Engstrom,Yasmin.Engstrom@BiTermTest.com,Enabled,Standard User,No,2010-10-25,2026-07-03
LFUJIMOTO,Lan Fujimoto,Lan.Fujimoto@BiTermTest.com,Enabled,Read Only,No,2010-09-20,2026-06-29
