account_id,display_name,email,account_status,app_role,privileged,created_date,last_login_date
PARVIN.WISNIEWSKI,Parvin Wisniewski,Parvin.Wisniewski@BiTermTest.com,Enabled,Administrator,Yes,2020-09-14,2026-06-12
SIOBHAN.KOZLOWSKI,Siobhan Kozlowski,Siobhan.Kozlowski@BiTermTest.com,Enabled,Standard User,No,2020-09-14,2026-06-10
IZARO.KILIC,Izaro Kilic,Izaro.Kilic@BiTermTest.com,Enabled,Power User,No,2020-08-31,2026-07-14
THIAGO.CHATTERJEE,Thiago Chatterjee,Thiago.Chatterjee@BiTermTest.com,Enabled,Standard User,No,2020-08-17,2026-06-09
MMIFSUD,Mikkel Mifsud,Mikkel.Mifsud@BiTermTest.com,Disabled,Standard User,No,2014-03-31,2026-07-13
SEDA.ADEYEMI,Seda Adeyemi,Seda.Adeyemi@BiTermTest.com,Enabled,Power User,No,2014-03-03,2026-07-13
AINHOA.CHOPRA,Ainhoa Chopra,Ainhoa.Chopra@BiTermTest.com,Enabled,Read Only,No,2014-03-03,2026-06-14
PIOTR.SAXENA,Piotr Saxena,Piotr.Saxena@BiTermTest.com,Enabled,Read Only,No,2014-01-06,2026-07-13
YHOANG,Yasmin Hoang,Yasmin.Hoang@BiTermTest.com,Enabled,Standard User,No,2013-12-02,2026-06-19
IKER.DELUCA,Iker Deluca,Iker.Deluca@BiTermTest.com,Enabled,Standard User,No,2013-11-04,2026-01-29
MGHANEM,Meera Ghanem,Meera.Ghanem@BiTermTest.com,Enabled,Standard User,No,2013-08-26,2026-07-02
ROZTURK,Ravi Ozturk,Ravi.Ozturk@BiTermTest.com,Enabled,Administrator,Yes,2013-07-29,2026-07-16
AMEHTA,Anika Mehta,Anika.Mehta@BiTermTest.com,Enabled,Standard User,No,2013-07-29,2026-07-06
PZAMMIT,Priya Zammit,Priya.Zammit@BiTermTest.com,Enabled,Standard User,No,2013-07-29,2026-07-12
KNOVIKOV,Katya Novikov,Katya.Novikov@BiTermTest.com,Enabled,Standard User,No,2013-04-29,2026-07-09
ZSZYMANSKI,Zahra Szymanski,Zahra.Szymanski@BiTermTest.com,Enabled,Read Only,No,2013-02-11,2026-06-25
ATAKAHASHI,Aoi Takahashi,Aoi.Takahashi@BiTermTest.com,Enabled,Standard User,No,2012-11-26,2026-07-08
OSOKOLOV,Oihane Sokolov,Oihane.Sokolov@BiTermTest.com,Enabled,Standard User,No,2012-11-26,2026-07-04
NEREA.VANDENBERG,Nerea Vandenberg,Nerea.Vandenberg@BiTermTest.com,Enabled,Standard User,No,2023-01-23,2026-06-14
VANDANA.SALIBA,Vandana Saliba,Vandana.Saliba@BiTermTest.com,Enabled,Standard User,No,2023-01-09,2026-06-23
LAN.SALIBA,Lan Saliba,Lan.Saliba@BiTermTest.com,Enabled,Standard User,No,2022-12-19,2026-07-19
REN.ASLAN,Ren Aslan,Ren.Aslan@BiTermTest.com,Enabled,Standard User,No,2019-11-04,2026-06-16
GORKA.KHOURY,Gorka Khoury,Gorka.Khoury@BiTermTest.com,Disabled,Standard User,No,2019-11-04,2026-07-07
TARIQ.TRUONG,Tariq Truong,Tariq.Truong@BiTermTest.com,Enabled,Standard User,No,2017-10-16,2026-06-08
KAVITA.AKSOY,Kavita Aksoy,Kavita.Aksoy@BiTermTest.com,Enabled,Power User,No,2017-07-10,2026-06-27
WILLEM.VELLA,Willem Vella,Willem.Vella@BiTermTest.com,Enabled,Standard User,No,2017-06-12,2026-07-10
AMARA.FEDOROV,Amara Fedorov,Amara.Fedorov@BiTermTest.com,Enabled,Standard User,No,2017-05-01,2026-06-29
TRUNG.ABEBE,Trung Abebe,Trung.Abebe@BiTermTest.com,Enabled,Standard User,No,2017-04-24,2026-02-02
