account_id,display_name,email,account_status,app_role,privileged,created_date,last_login_date
SOREN.KAYA,Soren Kaya,Soren.Kaya@BiTermTest.com,Enabled,Standard User,No,2020-09-14,2026-06-23
PETRO.GUPTA,Petro Gupta,Petro.Gupta@BiTermTest.com,Enabled,Standard User,No,2020-09-14,2026-07-05
NIAMH.OZTURK,Niamh Ozturk,Niamh.Ozturk@BiTermTest.com,Enabled,Standard User,No,2020-08-31,2026-07-30
REN.ASLAN,Ren Aslan,Ren.Aslan@BiTermTest.com,Enabled,Standard User,No,2020-08-17,2026-07-10
SVUONG,Sakura Vuong,Sakura.Vuong@BiTermTest.com,Enabled,Standard User,No,2014-03-31,2026-07-02
RAVI.TRAORE,Ravi Traore,Ravi.Traore@BiTermTest.com,Enabled,Standard User,No,2014-03-03,2026-06-25
THAO.HOLMGREN,Thao Holmgren,Thao.Holmgren@BiTermTest.com,Enabled,Standard User,No,2014-03-03,2026-07-25
MIKKEL.SEO,Mikkel Seo,Mikkel.Seo@BiTermTest.com,Enabled,Read Only,No,2014-01-06,2026-07-18
AORLOV,Amara Orlov,Amara.Orlov@BiTermTest.com,Enabled,Standard User,No,2013-12-02,2026-07-17
ANAHI.VANDENBERG,Anahi Vandenberg,Anahi.Vandenberg@BiTermTest.com,Enabled,Standard User,No,2013-11-04,2026-02-06
YAYDIN,Yaretzi Aydin,Yaretzi.Aydin@BiTermTest.com,Enabled,Power User,No,2013-08-26,2026-07-06
YVANDENBERG,Yan Vandenberg,Yan.Vandenberg@BiTermTest.com,Enabled,Power User,No,2013-07-29,2026-07-15
NADEYEMI,Nayeli Adeyemi,Nayeli.Adeyemi@BiTermTest.com,Enabled,Read Only,No,2013-07-29,2026-07-18
ORAO,Oksana Rao,Oksana.Rao@BiTermTest.com,Disabled,Read Only,No,2013-07-29,2026-08-05
JHENDRIKS,Joao Hendriks,Joao.Hendriks@BiTermTest.com,Enabled,Standard User,No,2013-04-29,2026-06-25
FTRUONG,Farid Truong,Farid.Truong@BiTermTest.com,Enabled,Standard User,No,2013-02-11,2026-07-04
NSTOJANOVIC,Nemanja Stojanovic,Nemanja.Stojanovic@BiTermTest.com,Enabled,Read Only,No,2012-11-26,2026-08-05
XCASSAR,Ximena Cassar,Ximena.Cassar@BiTermTest.com,Enabled,Read Only,No,2012-11-26,2026-07-20
