account_id,display_name,email,account_status,app_role,privileged,created_date,last_login_date
MAHMOUD.HADDAD,Mahmoud Haddad,Mahmoud.Haddad@BiTermTest.com,Enabled,Standard User,No,2015-07-20,2026-07-22
ANDIAYE,Aylin Ndiaye,Aylin.Ndiaye@BiTermTest.com,Enabled,Standard User,No,2011-06-30,2026-06-14
ESHAN.HOLMGREN,Eshan Holmgren,Eshan.Holmgren@BiTermTest.com,Enabled,Standard User,No,2015-01-01,2026-06-11
MFONSECA,Mateo Fonseca,Mateo.Fonseca@BiTermTest.com,Enabled,Read Only,No,2008-05-12,2026-06-24
INGRID.YAMAMOTO,Ingrid Yamamoto,,Disabled,Administrator,Yes,2023-08-19,2025-08-28
MATTEO.DOGAN,Matteo Dogan,Matteo.Dogan@BiTermTest.com,Enabled,Standard User,No,2026-03-09,2026-06-26
LALEH.SANDBERG,Laleh Sandberg,Laleh.Sandberg@BiTermTest.com,Enabled,Power User,No,2017-05-01,2026-07-02
LINH.HAILE,Linh Haile,Linh.Haile@BiTermTest.com,Enabled,Standard User,No,2014-04-14,2026-07-19
LARS.FOFANA,Lars Fofana,Lars.Fofana@BiTermTest.com,Enabled,Standard User,No,2015-01-01,2026-07-12
KOFI.KAMINSKI,Kofi Kaminski,Kofi.Kaminski@BiTermTest.com,Disabled,Standard User,No,2021-09-20,2026-06-27
BOGDAN.YAMAMOTO,Bogdan Yamamoto,Bogdan.Yamamoto@BiTermTest.com,Enabled,Standard User,No,2021-12-13,2026-06-26
NIAMH.FOFANA,Niamh Fofana,Niamh.Fofana@BiTermTest.com,Enabled,Standard User,No,2015-01-01,2026-07-16
EMRE.BEKELE,Emre Bekele,Emre.Bekele@BiTermTest.com,Enabled,Standard User,No,2020-02-03,2026-07-05
JOVANA.NAIR,Jovana Nair,Jovana.Nair@BiTermTest.com,Enabled,Standard User,No,2015-08-03,2026-01-16
Ximena.Cassar,Ximena Cassar,Ximena.Cassar@BiTermTest.com,Enabled,Standard User,No,2015-01-26,2026-07-11
DRAGAN.MOROZOV,Dragan Morozov,Dragan.Morozov@BiTermTest.com,Enabled,Standard User,No,2023-09-05,2026-06-18
VDESTA,Vandana Desta,Vandana.Desta@BiTermTest.com,Enabled,Standard User,No,2010-04-26,2026-07-12
BASIM.NDIAYE,Basim Ndiaye,Basim.Ndiaye@BiTermTest.com,Enabled,Standard User,No,2010-11-29,2026-06-19
EMRE.CONTI,Emre Conti,Emre.Conti@BiTermTest.com,Enabled,Standard User,No,2015-08-10,2026-06-28
ANOUK.DESTA,Anouk Desta,Anouk.Desta@BiTermTest.com,Enabled,Standard User,No,2019-04-01,2026-06-14
CASLAN,Chiara Aslan,Chiara.Aslan@BiTermTest.com,Enabled,Standard User,No,1993-01-28,2026-06-15
ADAEZE.GRECO,Adaeze Greco,Adaeze.Greco@BiTermTest.com,Enabled,Standard User,No,2014-10-27,2026-07-22
PGALEA,Parvin Galea,Parvin.Galea@BiTermTest.com,Enabled,Standard User,No,2007-07-02,2026-06-19
YUSUF.LEMMA,Yusuf Lemma,Yusuf.Lemma@BiTermTest.com,Enabled,Standard User,No,2022-11-14,2026-07-02
Amina.Lindqvist,Amina Lindqvist,Amina.Lindqvist@BiTermTest.com,Enabled,Standard User,No,2016-03-28,2026-06-29
