employee_id,first_name,last_name,upn,business_email,employment_status,worker_type,hire_date,termination_date,job_title,department,country,manager_upn
22332,Aaxelsson,User,AAxelsson@BiTermTest.com,AAxelsson@BiTermTest.com,Active,Employee,2003-07-11,,Physical Security Officer,Security,United States,Ines.Kulkarni@BiTermTest.com
25824,Adaeze,Adeyemi,Adaeze.Adeyemi@BiTermTest.com,Adaeze.Adeyemi@BiTermTest.com,Active,Employee,2016-11-14,,Operations Analyst,Operations,United States,Kofi.Obiora@BiTermTest.com
22952,Adaeze,Baraka,Adaeze.Baraka@BiTermTest.com,Adaeze.Baraka@BiTermTest.com,Active,Contractor,2016-04-04,,Accounts Payable Clerk,Finance,Canada,Gorka.Desta@BiTermTest.com
73050958,Adaeze,Bui,Adaeze.Bui@BiTermTest.com,Adaeze.Bui@BiTermTest.com,Active,Employee,2025-03-12,,Recruiter,Human Resources,United States,Iker.Lewandowski@BiTermTest.com
435,Adaeze,Deshpande,Adaeze.Deshpande@BiTermTest.com,Adaeze.Deshpande@BiTermTest.com,Active,Employee,2003-03-31,,Customer Care Associate,Customer Service,United States,Beatriz.Haile@BiTermTest.com
27618,Adaeze,Ferreira,Adaeze.Ferreira@BiTermTest.com,Adaeze.Ferreira@BiTermTest.com,Active,Contractor,2015-04-13,,Recruiter,Human Resources,United States,Jisoo.Jeong@BiTermTest.com
20354,Adaeze,Greco,Adaeze.Greco@BiTermTest.com,Adaeze.Greco@BiTermTest.com,Active,Employee,2014-10-27,,Operations Analyst,Operations,United States,Cillian.Novikov@BiTermTest.com
11027,Adaeze,Kocak,Adaeze.Kocak@BiTermTest.com,Adaeze.Kocak@BiTermTest.com,Active,Employee,2011-03-28,,Operations Analyst,Operations,Canada,Vandana.Forsberg@BiTermTest.com
40580,Adaeze,Seo,Adaeze.Seo@BiTermTest.com,Adaeze.Seo@BiTermTest.com,Active,Employee,2019-06-17,,Accounts Payable Clerk,Finance,United States,Naoko.Jeong@BiTermTest.com
19864,Adaeze,Wozniak,Adaeze.Wozniak@BiTermTest.com,Adaeze.Wozniak@BiTermTest.com,Active,Employee,2003-10-06,,Systems Engineer,IT,United States,Hana.Borg@BiTermTest.com
31970,Agnieszka,Arslan,Agnieszka.Arslan@BiTermTest.com,Agnieszka.Arslan@BiTermTest.com,Active,Employee,2017-06-19,,HR Business Partner,Human Resources,United States,Xochitl.Wojcik@BiTermTest.com
37954,Agnieszka,Bae,Agnieszka.Bae@BiTermTest.com,Agnieszka.Bae@BiTermTest.com,Active,Employee,2018-11-26,,Sales Operations Analyst,Sales,United States,Laleh.Bekele@BiTermTest.com
23650,Agnieszka,Hoang,Agnieszka.Hoang@BiTermTest.com,Agnieszka.Hoang@BiTermTest.com,Active,Employee,2009-05-18,,Account Executive,Sales,Canada,Bram.Aslan@BiTermTest.com
23378,Agnieszka,Jovanovic,Agnieszka.Jovanovic@BiTermTest.com,Agnieszka.Jovanovic@BiTermTest.com,Active,Employee,2007-02-19,,Operations Analyst,Operations,Canada,Cillian.Novikov@BiTermTest.com
73036896,Agnieszka,Novak,Agnieszka.Novak@BiTermTest.com,Agnieszka.Novak@BiTermTest.com,Active,Employee,2023-05-08,,Financial Analyst,Finance,United States,Aylin.Mukherjee@BiTermTest.com
25458,Agnieszka,Oliveira,Agnieszka.Oliveira@BiTermTest.com,Agnieszka.Oliveira@BiTermTest.com,Active,Employee,2007-01-22,,Financial Analyst,Finance,United States,Fernanda.Rahal@BiTermTest.com
73023407,Agnieszka,Reddy,Agnieszka.Reddy@BiTermTest.com,Agnieszka.Reddy@BiTermTest.com,Active,Employee,2021-12-20,,Customer Security Representative II CDL,Customer Service,Canada,Anahi.Esposito@BiTermTest.com
13027,Agnieszka,Seo,Agnieszka.Seo@BiTermTest.com,Agnieszka.Seo@BiTermTest.com,Active,Employee,2015-01-01,,Systems Engineer,IT,Canada,Hana.Borg@BiTermTest.com
22574,Agnieszka,Teixeira,Agnieszka.Teixeira@BiTermTest.com,Agnieszka.Teixeira@BiTermTest.com,Active,Employee,2010-04-12,,Customer Care Associate,Customer Service,United States,Itzel.Piotrowski@BiTermTest.com
39115,Agnieszka,Trivedi,Agnieszka.Trivedi@BiTermTest.com,Agnieszka.Trivedi@BiTermTest.com,Active,Contractor,2019-02-25,,Account Executive,Sales,United States,Niamh.Rahal@BiTermTest.com
40464,Agnieszka,Zammit,Agnieszka.Zammit@BiTermTest.com,Agnieszka.Zammit@BiTermTest.com,Active,Employee,2025-01-13,,Service Desk Analyst,IT,United States,Daan.Uchida@BiTermTest.com
73044787,Ainhoa,Almeida,Ainhoa.Almeida@BiTermTest.com,Ainhoa.Almeida@BiTermTest.com,Active,Employee,2024-05-22,2026-05-22,GRC Analyst,Security,United States,Amaia.Diallo@BiTermTest.com
73007730,Ainhoa,Chopra,Ainhoa.Chopra@BiTermTest.com,Ainhoa.Chopra@BiTermTest.com,Active,Employee,2020-09-14,,Security Analyst,Security,United States,Amaia.Diallo@BiTermTest.com
19521,Ainhoa,Devries,Ainhoa.Devries@BiTermTest.com,Ainhoa.Devries@BiTermTest.com,Active,Employee,2015-09-02,,HR Business Partner,Human Resources,United States,Oksana.Haddad@BiTermTest.com
73032016,Ainhoa,Micallef,Ainhoa.Micallef@BiTermTest.com,Ainhoa.Micallef@BiTermTest.com,Active,Contractor,2022-12-05,,Platform Administrator,IT,United States,Hana.Borg@BiTermTest.com
20537,Ainhoa,Nystrom,Ainhoa.Nystrom@BiTermTest.com,Ainhoa.Nystrom@BiTermTest.com,Active,Employee,2014-07-11,,Security Analyst,Security,United States,Teodora.Rossi@BiTermTest.com
73042715,Ainhoa,Rao,Ainhoa.Rao@BiTermTest.com,Ainhoa.Rao@BiTermTest.com,Active,Employee,2024-02-05,,GRC Analyst,Security,United States,Firuza.Mulder@BiTermTest.com
22356,Ainhoa,Szymanski,Ainhoa.Szymanski@BiTermTest.com,Ainhoa.Szymanski@BiTermTest.com,Active,Employee,2000-12-22,,Controller,Finance,United States,Fernanda.Rahal@BiTermTest.com
18348,Ainhoa,Teixeira,Ainhoa.Teixeira@BiTermTest.com,Ainhoa.Teixeira@BiTermTest.com,Active,Employee,1987-08-20,,Account Executive,Sales,United States,Jisoo.Almeida@BiTermTest.com
73051891,Ainhoa,Wisniewski,Ainhoa.Wisniewski@BiTermTest.com,Ainhoa.Wisniewski@BiTermTest.com,Active,Contractor,2025-05-19,,Controller,Finance,United States,Soren.Ferreira@BiTermTest.com
