application,name,upn,employee_id,app_account_alias,exception_type,justification,owner_upn,expiry
NA Apollo,Hana Baraka,hana.baraka@bitermtest.com,33199,Hana.Baraka,Break-glass,IT team standing access - biweekly review exemption,eamon.zielinski@bitermtest.com,2026-06-30
NA Apollo,Anouk Sokolov,anouk.sokolov@bitermtest.com,73044595,Anouk.Sokolov,IT Admin,IT team standing access - biweekly review exemption,ren.aslan@bitermtest.com,2026-01-15
NA Apollo,Volkan Chatterjee,volkan.chatterjee@bitermtest.com,73036936,Volkan.Chatterjee,IT Admin,IT team standing access - biweekly review exemption,hana.baraka@bitermtest.com,2026-12-31
NA Stellar,Tariq Zielinski,tariq.zielinski@bitermtest.com,73055087,TARIQ.ZIELINSKI,IT Admin,IT team standing access - biweekly review exemption,ximena.iyer@bitermtest.com,2026-12-31
NA Stellar,Ren Aslan,ren.aslan@bitermtest.com,73055731,REN.ASLAN,IT Admin,IT team standing access - biweekly review exemption,tariq.zielinski@bitermtest.com,2026-12-31
NA Stellar,Ximena Cassar,ximena.cassar@bitermtest.com,10007258,XIMENA.CASSAR,IT Admin,IT team standing access - biweekly review exemption,ximena.iyer@bitermtest.com,2026-06-30
NA Stellar,Yusuf Novak,yusuf.novak@bitermtest.com,73047336,YUSUF.NOVAK,Break-glass,IT team standing access - biweekly review exemption,basim.uchida@bitermtest.com,2026-01-15
NA Stellar,Anouk Sokolov,anouk.sokolov@bitermtest.com,26464,ASOKOLOV,Break-glass,IT team standing access - biweekly review exemption,tariq.zielinski@bitermtest.com,2026-01-15
NA Stellar,Zahra Nikolic,zahra.nikolic@bitermtest.com,73044902,ZAHRA.NIKOLIC,IT Admin,IT team standing access - biweekly review exemption,eamon.zielinski@bitermtest.com,2026-12-31
NA Orion,Deniz Ghanem,dghanem2@bitermtest.com,22597,DGHANEM,Break-glass,IT team standing access - biweekly review exemption,eamon.zielinski@bitermtest.com,2026-01-15
NA Orion,Hana Baraka,hana.baraka@bitermtest.com,41087,Hana.Baraka,Service Owner,IT team standing access - biweekly review exemption,anouk.sokolov@bitermtest.com,2026-12-31
NA Orion,Ren Aslan,ren.aslan@bitermtest.com,35595,REN.ASLAN,Service Owner,IT team standing access - biweekly review exemption,niamh.owusu@bitermtest.com,2027-06-30
NA Orion,Ximena Iyer,ximena.iyer@bitermtest.com,23286,XIYER,Service Owner,IT team standing access - biweekly review exemption,ainhoa.chopra@bitermtest.com,2026-06-30
NA Orion,Beatriz Meijer,beatriz.meijer@bitermtest.com,73051703,BEATRIZ.MEIJER,IT Admin,IT team standing access - biweekly review exemption,ainhoa.chopra@bitermtest.com,2026-12-31
NA Orion,Ximena Cassar,ximena.cassar@bitermtest.com,24853,Ximena.Cassar,IT Admin,IT team standing access - biweekly review exemption,hana.baraka@bitermtest.com,2026-06-30
NA Orion,Eamon Zielinski,eamon.zielinski@bitermtest.com,27118,EZIELINSKI,Break-glass,IT team standing access - biweekly review exemption,volkan.chatterjee@bitermtest.com,2026-12-31
NA Orion,Anouk Sokolov,anouk.sokolov@bitermtest.com,20084,ANOUK.SOKOLOV,IT Admin,IT team standing access - biweekly review exemption,ainhoa.chopra@bitermtest.com,2026-01-15
NA Orion,Volkan Chatterjee,volkan.chatterjee@bitermtest.com,73037934,Volkan.Chatterjee,IT Admin,IT team standing access - biweekly review exemption,beatriz.meijer@bitermtest.com,2026-12-31
NA Orion,Zahra Nikolic,zahra.nikolic@bitermtest.com,19887,ZAHRA.NIKOLIC,IT Admin,IT team standing access - biweekly review exemption,volkan.chatterjee@bitermtest.com,2026-01-15
NA Saturn East,Deniz Ghanem,dghanem2@bitermtest.com,22597,DGHANEM,IT Admin,IT team standing access - biweekly review exemption,volkan.chatterjee@bitermtest.com,2026-12-31
NA Saturn East,Hana Baraka,hana.baraka@bitermtest.com,21451,HBARAKA,Service Owner,IT team standing access - biweekly review exemption,basim.uchida@bitermtest.com,2027-06-30
NA Saturn East,Ren Aslan,ren.aslan@bitermtest.com,42333,REN.ASLAN,Service Owner,IT team standing access - biweekly review exemption,eamon.zielinski@bitermtest.com,2026-12-31
NA Saturn East,Ximena Iyer,ximena.iyer@bitermtest.com,29878,XIMENA.IYER,IT Admin,IT team standing access - biweekly review exemption,beatriz.meijer@bitermtest.com,2026-01-15
NA Saturn East,Basim Uchida,basim.uchida@bitermtest.com,73008405,BASIM.UCHIDA,IT Admin,IT team standing access - biweekly review exemption,dghanem2@bitermtest.com,2026-06-30
